packet_id,phase,sensitivity,threat_state,bandwidth_kbps,tier_selected,cipher_name,latency_ms,energy_uj
141,DDoS Attack,1,1,1760.6,2,Tier 3 (ECDH+AES),0.1458,5.5696
142,DDoS Attack,1,1,1014.4,2,Tier 3 (ECDH+AES),0.1459,5.5734
143,DDoS Attack,1,1,1272.1,2,Tier 3 (ECDH+AES),0.1558,5.9516
144,DDoS Attack,1,1,1065.9,2,Tier 3 (ECDH+AES),0.1459,5.5734
145,DDoS Attack,1,1,1049.1,2,Tier 3 (ECDH+AES),0.145,5.539
146,DDoS Attack,1,1,788.7,2,Tier 3 (ECDH+AES),0.1451,5.5428
147,DDoS Attack,1,1,1390.0,2,Tier 3 (ECDH+AES),0.1449,5.5352
148,DDoS Attack,1,1,1277.8,2,Tier 3 (ECDH+AES),0.1446,5.5237
149,DDoS Attack,1,1,804.1,2,Tier 3 (ECDH+AES),0.1451,5.5428
150,DDoS Attack,1,1,1042.6,2,Tier 3 (ECDH+AES),0.145,5.539
151,DDoS Attack,1,1,1703.7,2,Tier 3 (ECDH+AES),0.1449,5.5352
152,DDoS Attack,1,1,1001.5,2,Tier 3 (ECDH+AES),0.1451,5.5428
153,DDoS Attack,1,1,902.1,2,Tier 3 (ECDH+AES),0.1444,5.5161
154,DDoS Attack,1,1,1263.9,2,Tier 3 (ECDH+AES),0.1446,5.5237
155,DDoS Attack,1,1,1784.9,2,Tier 3 (ECDH+AES),0.1538,5.8752
156,DDoS Attack,1,1,1004.2,2,Tier 3 (ECDH+AES),0.1936,7.3955
157,DDoS Attack,1,1,1455.7,2,Tier 3 (ECDH+AES),0.1943,7.4223
158,DDoS Attack,1,1,1549.7,2,Tier 3 (ECDH+AES),0.1976,7.5483
159,DDoS Attack,1,1,999.5,2,Tier 3 (ECDH+AES),0.2001,7.6438
160,DDoS Attack,1,1,1514.6,2,Tier 3 (ECDH+AES),0.1469,5.6116
161,DDoS Attack,1,1,1136.2,2,Tier 3 (ECDH+AES),0.1476,5.6383
162,DDoS Attack,1,1,1413.9,2,Tier 3 (ECDH+AES),0.1464,5.5925
163,DDoS Attack,1,1,1415.2,2,Tier 3 (ECDH+AES),0.1454,5.5543
164,DDoS Attack,1,1,1312.6,2,Tier 3 (ECDH+AES),0.145,5.539
165,DDoS Attack,1,1,844.8,2,Tier 3 (ECDH+AES),0.1535,5.8637
166,DDoS Attack,1,1,1627.1,2,Tier 3 (ECDH+AES),0.1457,5.5657
167,DDoS Attack,1,1,1086.8,2,Tier 3 (ECDH+AES),0.1455,5.5581
168,DDoS Attack,1,1,945.8,2,Tier 3 (ECDH+AES),0.1451,5.5428
169,DDoS Attack,1,1,792.8,2,Tier 3 (ECDH+AES),0.1452,5.5466
170,DDoS Attack,1,1,1370.4,2,Tier 3 (ECDH+AES),0.145,5.539
171,DDoS Attack,1,1,1461.4,2,Tier 3 (ECDH+AES),0.1448,5.5314
172,DDoS Attack,1,1,767.4,2,Tier 3 (ECDH+AES),0.1448,5.5314
173,DDoS Attack,1,1,1287.7,2,Tier 3 (ECDH+AES),0.1453,5.5505
174,DDoS Attack,1,1,987.8,2,Tier 3 (ECDH+AES),0.1448,5.5314
175,DDoS Attack,1,1,1427.4,2,Tier 3 (ECDH+AES),0.1448,5.5314
176,DDoS Attack,1,1,933.1,2,Tier 3 (ECDH+AES),0.1446,5.5237
177,DDoS Attack,1,1,1475.5,2,Tier 3 (ECDH+AES),0.1491,5.6956
178,DDoS Attack,1,1,1156.1,2,Tier 3 (ECDH+AES),0.1452,5.5466
179,DDoS Attack,1,1,1733.6,2,Tier 3 (ECDH+AES),0.2248,8.5874
180,DDoS Attack,1,1,894.4,2,Tier 3 (ECDH+AES),0.2242,8.5644
181,DDoS Attack,1,1,1108.1,2,Tier 3 (ECDH+AES),0.1678,6.41
182,DDoS Attack,1,1,869.1,2,Tier 3 (ECDH+AES),0.2134,8.1519
183,DDoS Attack,1,1,1720.9,2,Tier 3 (ECDH+AES),0.1625,6.2075
184,DDoS Attack,1,1,1671.2,2,Tier 3 (ECDH+AES),0.1461,5.581
185,DDoS Attack,1,1,1020.8,2,Tier 3 (ECDH+AES),0.1922,7.342
186,DDoS Attack,1,1,1443.0,2,Tier 3 (ECDH+AES),0.1551,5.9248
187,DDoS Attack,1,1,1608.1,2,Tier 3 (ECDH+AES),0.1469,5.6116
188,DDoS Attack,1,1,1333.0,2,Tier 3 (ECDH+AES),0.1454,5.5543
189,DDoS Attack,1,1,1306.1,2,Tier 3 (ECDH+AES),0.1453,5.5505
190,DDoS Attack,1,1,1003.9,2,Tier 3 (ECDH+AES),0.1452,5.5466
191,DDoS Attack,1,1,847.8,2,Tier 3 (ECDH+AES),0.1457,5.5657
192,DDoS Attack,1,1,1692.1,2,Tier 3 (ECDH+AES),0.1452,5.5466
193,DDoS Attack,1,1,1695.4,2,Tier 3 (ECDH+AES),0.145,5.539
194,DDoS Attack,1,1,1414.8,2,Tier 3 (ECDH+AES),0.1453,5.5505
195,DDoS Attack,1,1,1106.0,2,Tier 3 (ECDH+AES),0.1447,5.5275
196,DDoS Attack,1,1,1116.7,2,Tier 3 (ECDH+AES),0.1447,5.5275
197,DDoS Attack,1,1,1512.3,2,Tier 3 (ECDH+AES),0.1445,5.5199
198,DDoS Attack,1,1,1692.0,2,Tier 3 (ECDH+AES),0.1533,5.8561
199,DDoS Attack,1,1,1681.4,2,Tier 3 (ECDH+AES),0.1452,5.5466
200,DDoS Attack,1,1,1568.9,2,Tier 3 (ECDH+AES),0.145,5.539
201,DDoS Attack,1,1,1424.1,2,Tier 3 (ECDH+AES),0.1452,5.5466
202,DDoS Attack,1,1,838.3,2,Tier 3 (ECDH+AES),0.2254,8.6103
203,DDoS Attack,1,1,919.7,2,Tier 3 (ECDH+AES),0.1851,7.0708
204,DDoS Attack,1,1,1693.5,2,Tier 3 (ECDH+AES),0.2311,8.828
205,DDoS Attack,1,1,1386.8,2,Tier 3 (ECDH+AES),0.1501,5.7338
206,DDoS Attack,1,1,759.7,2,Tier 3 (ECDH+AES),0.1829,6.9868
207,DDoS Attack,0,1,856.5,1,Tier 2 (AES-CTR),0.0147,0.1837
208,DDoS Attack,1,1,1446.7,2,Tier 3 (ECDH+AES),0.1487,5.6803
209,DDoS Attack,1,1,755.3,2,Tier 3 (ECDH+AES),0.1551,5.9248
210,DDoS Attack,1,1,918.8,2,Tier 3 (ECDH+AES),0.1469,5.6116
211,DDoS Attack,1,1,1326.2,2,Tier 3 (ECDH+AES),0.1455,5.5581
212,DDoS Attack,1,1,1476.5,2,Tier 3 (ECDH+AES),0.1629,6.2228
213,DDoS Attack,1,1,1434.6,2,Tier 3 (ECDH+AES),0.1518,5.7988
214,DDoS Attack,1,1,985.5,2,Tier 3 (ECDH+AES),0.1517,5.7949
215,DDoS Attack,1,1,1497.8,2,Tier 3 (ECDH+AES),0.1522,5.814
216,DDoS Attack,1,1,999.1,2,Tier 3 (ECDH+AES),0.152,5.8064
217,DDoS Attack,1,1,1091.7,2,Tier 3 (ECDH+AES),0.1658,6.3336
218,DDoS Attack,1,1,1533.8,2,Tier 3 (ECDH+AES),0.145,5.539
219,DDoS Attack,1,1,1432.1,2,Tier 3 (ECDH+AES),0.1446,5.5237
220,DDoS Attack,1,1,1641.7,2,Tier 3 (ECDH+AES),0.1519,5.8026
221,DDoS Attack,1,1,1440.5,2,Tier 3 (ECDH+AES),0.1458,5.5696
222,DDoS Attack,1,1,1346.7,2,Tier 3 (ECDH+AES),0.1484,5.6689
223,DDoS Attack,1,1,848.4,2,Tier 3 (ECDH+AES),0.145,5.539
224,DDoS Attack,1,1,1136.1,2,Tier 3 (ECDH+AES),0.1455,5.5581
225,DDoS Attack,1,1,1028.5,2,Tier 3 (ECDH+AES),0.1967,7.5139
226,DDoS Attack,1,1,1006.2,2,Tier 3 (ECDH+AES),0.224,8.5568
227,DDoS Attack,1,1,1771.7,2,Tier 3 (ECDH+AES),0.3154,12.0483
228,DDoS Attack,1,1,1162.8,2,Tier 3 (ECDH+AES),0.2138,8.1672
229,DDoS Attack,1,1,1686.6,2,Tier 3 (ECDH+AES),0.1914,7.3115
230,DDoS Attack,1,1,1412.7,2,Tier 3 (ECDH+AES),0.1793,6.8493
231,DDoS Attack,1,1,1584.6,2,Tier 3 (ECDH+AES),0.286,10.9252
232,DDoS Attack,1,1,1277.8,2,Tier 3 (ECDH+AES),0.1575,6.0165
233,DDoS Attack,1,1,1355.7,2,Tier 3 (ECDH+AES),0.1557,5.9477
234,DDoS Attack,1,1,1267.1,2,Tier 3 (ECDH+AES),0.1556,5.9439
235,DDoS Attack,1,1,955.0,2,Tier 3 (ECDH+AES),0.1567,5.9859
236,DDoS Attack,1,1,1508.6,2,Tier 3 (ECDH+AES),0.1679,6.4138
237,DDoS Attack,1,1,1044.8,2,Tier 3 (ECDH+AES),0.1474,5.6307
238,DDoS Attack,1,1,775.5,2,Tier 3 (ECDH+AES),0.1475,5.6345
239,DDoS Attack,1,1,1427.7,2,Tier 3 (ECDH+AES),0.1473,5.6269
240,DDoS Attack,1,1,936.0,2,Tier 3 (ECDH+AES),0.1474,5.6307
241,DDoS Attack,1,1,1737.5,2,Tier 3 (ECDH+AES),0.147,5.6154
242,DDoS Attack,1,1,1751.6,2,Tier 3 (ECDH+AES),0.1474,5.6307
243,DDoS Attack,1,1,1710.6,2,Tier 3 (ECDH+AES),0.1471,5.6192
244,DDoS Attack,1,1,1138.7,2,Tier 3 (ECDH+AES),0.3968,15.1578
245,DDoS Attack,1,1,766.2,2,Tier 3 (ECDH+AES),0.319,12.1858
246,DDoS Attack,1,1,1724.7,2,Tier 3 (ECDH+AES),0.159,6.0738
247,DDoS Attack,1,1,1199.6,2,Tier 3 (ECDH+AES),0.1861,7.109
248,DDoS Attack,1,1,1765.0,2,Tier 3 (ECDH+AES),0.149,5.6918
249,DDoS Attack,1,1,1761.8,2,Tier 3 (ECDH+AES),0.1486,5.6765
250,DDoS Attack,1,1,1645.7,2,Tier 3 (ECDH+AES),0.1481,5.6574
251,Benign,0,0,58.3,0,Tier 1 (ChaCha20),0.0697,0.2161
252,Benign,0,0,70.1,0,Tier 1 (ChaCha20),0.017,0.0527
253,Benign,0,0,130.6,0,Tier 1 (ChaCha20),0.0119,0.0369
254,Benign,0,0,61.2,0,Tier 1 (ChaCha20),0.0111,0.0344
255,Benign,0,0,42.0,0,Tier 1 (ChaCha20),0.011,0.0341
256,Benign,0,0,92.4,0,Tier 1 (ChaCha20),0.0109,0.0338
257,Benign,0,0,141.7,0,Tier 1 (ChaCha20),0.0105,0.0325
258,Benign,0,0,110.5,0,Tier 1 (ChaCha20),0.0103,0.0319
259,Benign,0,0,94.1,0,Tier 1 (ChaCha20),0.0104,0.0322
260,Benign,0,0,32.6,0,Tier 1 (ChaCha20),0.0102,0.0316
261,Benign,0,0,100.0,0,Tier 1 (ChaCha20),0.0103,0.0319
262,Benign,0,0,148.7,0,Tier 1 (ChaCha20),0.0105,0.0325
263,Benign,0,0,38.2,0,Tier 1 (ChaCha20),0.0101,0.0313
264,Benign,0,0,87.4,0,Tier 1 (ChaCha20),0.01,0.031
265,Benign,0,0,134.1,0,Tier 1 (ChaCha20),0.0101,0.0313
266,Benign,0,0,116.3,0,Tier 1 (ChaCha20),0.0105,0.0325
267,Benign,0,0,110.6,0,Tier 1 (ChaCha20),0.01,0.031
268,Benign,0,0,111.3,0,Tier 1 (ChaCha20),0.0102,0.0316
269,Benign,0,0,66.7,0,Tier 1 (ChaCha20),0.0186,0.0577
270,Benign,0,0,58.2,0,Tier 1 (ChaCha20),0.011,0.0341
271,Benign,0,0,125.2,0,Tier 1 (ChaCha20),0.0102,0.0316
272,Benign,0,0,125.3,0,Tier 1 (ChaCha20),0.0104,0.0322
